rank,stadium,capacity,region,country,city,images,home_team,location
109.0,Nanjing Olympic Sports Centre Stadium,61443.0,East Asia,China,"Nanjing, Jiangsu",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[32.01068245, 118.7197542541]"
110.0,Anfield,65000.0,Europe,England,"Liverpool, England",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Liverpool FC,"[53.43091645, -2.9609313526]"
111.0,Estadio Benito Villamarín,60720.0,Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Real Betis,"[37.35653545, -5.9817565562]"
112.0,Abuja Stadium,60491.0,Africa,Nigeria,Abuja,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Nigeria national football team,"[9.0643305, 7.4892974]"
113.0,MHPArena,60469.0,Europe,Germany,Stuttgart,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,VfB Stuttgart,"[48.8911701, 9.1824201572]"
114.0,Celtic Park,60411.0,Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Celtic FC,"[55.85018145, -4.2068226877]"
115.0,Estadio de la UNSA,60370.0,South America,Peru,Arequipa,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,FBC Melgar,"[-16.4073043, -71.5204685386]"
116.0,Emirates Stadium,60338.0,Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Arsenal,"[51.55504035, -0.1083996709]"
117.0,Shenzhen Universiade Sports Centre Stadium,60334.0,East Asia,China,"Shenzhen, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[22.6969481, 114.2123339271]"
118.0,Estadio Centenario,60235.0,South America,Uruguay,Montevideo,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Uruguay national football team,"[-34.89453925, -56.1526840941]"
119.0,Estádio José do Rego Maciel,60044.0,South America,Brazil,"Recife, Pernambuco",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Santa Cruz FC,"[-8.0268093, -34.8911966745]"
120.0,Al-Bayt Stadium,60000.0,West Asia,Qatar,Al-Khor,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[25.6521339, 51.4878054731]"
121.0,Benjamin Mkapa National Stadium,60000.0,Africa,Tanzania,Dar es-Salaam,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Tanzania national football team, Young Africans","[-6.85357465, 39.2732934737]"
122.0,Hefei Olympic Sports Centre Stadium,60000.0,East Asia,China,"Hefei, Anhui",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Anhui Jiufang,"[31.797877, 117.2226120308]"
123.0,Jaber al-Ahmad International Stadium,60000.0,West Asia,Kuwait,Kuwait City,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Kuwait national football team,"[29.27146495, 47.9187755027]"
124.0,Hammadi Agrebi Stadium,60000.0,Africa,Tunisia,Tunis,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Tunisia national football team,"[36.74777165, 10.2731399862]"
125.0,Jawaharlal Nehru Stadium,60000.0,South Asia,India,New Delhi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[28.58337705, 77.2335404029]"
126.0,Mogadishu Stadium,60000.0,Africa,Somalia,Mogadishu,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Somalia national football team,"[2.06746715, 45.335464789]"
