rank,stadium,capacity,region,country,city,images,home_team
191,Loftus Versfeld Stadium,"51,762",Africa,South Africa,"Pretoria, Gauteng",,SuperSport United and Vodacom Pretoria Bulls
192,Aviva Stadium,"51,700",Europe,Ireland,Dublin,,"Leinster Rugby, Republic of Ireland national football team, Ireland national rugby union team"
193,Guiyang Olympic Sports Centre Stadium,"51,638",East Asia,China,"Guiyang, Guizhou",,
194,Hohhot City Stadium,"51,632",East Asia,China,"Hohhot, Inner Mongolia",,
195,Rajamangala National Stadium,"51,552",Southeast Asia,Thailand,Bangkok,,Thailand national football team
196,Donbass Arena,"51,504",Europe,Ukraine,Donetsk,,
197,Estadio Presidente Juan Domingo Perón,"51,389",South America,Argentina,Avellaneda,,Racing Club de Avellaneda
198,İzmir Atatürk Stadyumu,"51,295",West Asia,Turkey,İzmir,,"Altay SK, Göztepe AŞ"
199,Stadion Feijenoord,"51,117",Europe,Netherlands,Rotterdam,,Feyenoord
200,Estadio BBVA,"51,000",North America,Mexico,Monterrey,,CF Monterrey
201,Ghadir Stadium,"51,000",West Asia,Iran,Ahvaz,,Foolad FC
202,Estádio José Pinheiro Borda,"50,942",South America,Brazil,Porto Alegre. Rio Grande do Sul,,SC Internacional
203,Ibrox Stadium,"50,817",Europe,Scotland,Glasgow,,Rangers FC
204,Shizuoka Stadium,"50,889",East Asia,Japan,"Fukuroi, Shizuoka",,"Júbilo Iwata, Shimizu S-Pulse, Shizuoka Blue Revs"
205,Ernst-Happel-Stadion,"50,865",Europe,Austria,Vienna,,Austria national football team
206,Huntington Bank Stadium,"50,805",North America,United States,Minneapolis,,Minnesota Golden Gophers football
207,Estadio Cuauhtémoc,"50,754",North America,Mexico,Puebla,,Puebla FC
208,Friends Arena,"50,653",Europe,Sweden,Solna,,"Sweden national football team, AIK Fotboll"
209,Ülker Stadyumu,"50,509",West Asia,Turkey,Istanbul,,Fenerbahçe
210,Stanford Stadium,"50,424",North America,United States,"Palo Alto, California",,
211,Stade Pierre-Mauroy,"50,186",Europe,France,Villeneuve-d'Ascq,,Lille OSC
212,Stade Roi Baudouin,"50,122",Europe,Belgium,Brussels,,Belgium national football team
213,Shaanxi Province Stadium,"50,100",East Asia,China,"Xi'an, Shaanxi",no image,
214,Ajinomoto Stadium,"50,100",East Asia,Japan,"Chofu, Tokyo",,"FC Tokyo, Tokyo Verdy, Tokyo Sungoliath, Toshiba Brave Lupus Tokyo"
215,Estádio José Alvalade,"50,095",Europe,Portugal,Lisbon,,Sporting CP
216,Estádio do Dragão,"50,033",Europe,Portugal,Porto,,FC Porto
217,Casa de Apostas Arena Fonte Nova,"50,025",South America,Brazil,"Salvador, Bahia",,EC Bahia
218,Stade Olympique de Sousse,"50,000",Africa,Tunisia,Sousse,,Étoile du Sahel
219,RheinEnergieSTADION,"50,000",Europe,Germany,Cologne,,1. FC Köln
220,Harbin Sports City Centre Stadium,"50,000",East Asia,China,"Harbin, Heilongjiang",no image,
221,Greenfield International Stadium,"50,000",South Asia,India,Trivandrum,,
222,EMS Stadium,"50,000",South Asia,India,Kozhikode,,"India national football team, Gokulam Kerala FC"
223,KD Singh Babu Stadium,"50,000",South Asia,India,Lucknow,,
224,Eden Park,"50,000",Oceania,New Zealand,Auckland,,"Auckland Blues, New Zealand Warriors"
225,Estádio 11 de Novembro,"50,000",Africa,Angola,Luanda,,"Angola national football team, Primeiro de Agosto, Petro Luanda"
226,Henan Provincial Stadium,"50,000",East Asia,China,"Zhengzhou, Henan",no image,
227,Jiangxi Olympic Sports Center,"50,000",East Asia,China,"Nanchang, Jiangxi",no image,
228,Max-Morlock-Stadion,"50,000",Europe,Germany,Nuremberg,,1. FC Nürnberg
229,June 11 Stadium,"50,000",Africa,Libya,Tripoli,,"Libya, Al-Ahly SC, Al-Ittihad Tripoli, Al-Madina SC"
230,Xinjiang Sports Centre Stadium,"50,000",East Asia,China,"Urumqi, Xinjiang",no image,
231,Kim Il-sung Stadium,"50,000",East Asia,North Korea,Pyongyang,,Pyongyang City Sports Club
232,EDION Stadium Hiroshima,"50,000",East Asia,Japan,Hiroshima,,Sanfrecce Hiroshima
233,Pars Shiraz Stadium,"50,000",West Asia,Iran,Shiraz,,Fajr Sepasi Shiraz FC
234,Stade du 26 mars,"50,000",Africa,Mali,Bamako,,Stade Malien
235,Stade Abdoulaye Wade,"50,000",Africa,Senegal,Dakar,no image,Senegal national football team
236,Sultan Mizan Zainal Abidin Stadium,"50,000",Southeast Asia,Malaysia,Kuala Terengganu,,Terengganu FA
